,date,symbol,pos_type,fut_gap_filled
225,2020-02-06,TSLA,long,1.757616771
226,2020-02-07,TSLA,long,1.129272619
227,2020-02-10,TSLA,short,-0.08338120375
228,2020-02-13,TSLA,long,1.992538477
229,2020-02-14,TSLA,long,0.5345618558
47,2020-02-18,AAPL,long,-0.5422308842
230,2020-02-18,TSLA,short,-0.7777237381
231,2020-02-19,TSLA,short,-0.6546850444
48,2020-02-24,AAPL,long,-0.5617483443
232,2020-02-24,TSLA,long,-0.6048390074
454,2020-02-24,F,long,-0.8947369742
533,2020-02-24,MSFT,long,-0.3733828336
393,2020-02-24,NFLX,long,-0.473546777
595,2020-02-24,GOOG,long,-0.8159324517
233,2020-02-26,TSLA,long,0.7696760679
49,2020-02-27,AAPL,long,-0.5757570153
234,2020-02-27,TSLA,long,-0.7997955071
534,2020-02-27,MSFT,long,-0.4583955489
394,2020-02-27,NFLX,long,1.583548748
596,2020-02-27,GOOG,long,-0.690105321
50,2020-02-28,AAPL,long,0.3007389208
235,2020-02-28,TSLA,long,0.2336714718
535,2020-02-28,MSFT,long,0.9584106539
395,2020-02-28,NFLX,long,0.6746663411
597,2020-02-28,GOOG,long,0.5678755417
51,2020-03-02,AAPL,short,-0.4887900449
236,2020-03-02,TSLA,short,-0.4317074203
455,2020-03-02,F,short,0.5333324856
536,2020-03-02,MSFT,short,-0.09091178103
237,2020-03-03,TSLA,short,0.4481914682
52,2020-03-04,AAPL,short,-0.5351132961
238,2020-03-04,TSLA,short,1.126288106
537,2020-03-04,MSFT,short,-0.2788933412
396,2020-03-04,NFLX,short,-0.1933356391
53,2020-03-05,AAPL,long,-0.4418299362
239,2020-03-05,TSLA,long,-0.145744378
538,2020-03-05,MSFT,long,0.07110273203
598,2020-03-05,GOOG,long,-0.7601853906
54,2020-03-06,AAPL,long,-0.1923033323
456,2020-03-06,F,long,-0.4285714286
240,2020-03-06,TSLA,long,-0.5078182465
539,2020-03-06,MSFT,long,-0.863387172
599,2020-03-06,GOOG,long,-0.3053852864
55,2020-03-09,AAPL,long,-0.4327541759
457,2020-03-09,F,long,-0.6730767644
540,2020-03-09,MSFT,long,-0.3614006349
397,2020-03-09,NFLX,long,-0.4579845771
600,2020-03-09,GOOG,long,-0.4688006796
56,2020-03-10,AAPL,short,-0.2917043796
458,2020-03-10,F,short,0.2777774098
241,2020-03-10,TSLA,short,0
541,2020-03-10,MSFT,short,-0.2599474349
398,2020-03-10,NFLX,short,-0.1368224884
601,2020-03-10,GOOG,short,-0.07223143946
57,2020-03-11,AAPL,long,-0.5182399574
459,2020-03-11,F,long,-0.749999404
542,2020-03-11,MSFT,long,-0.8496056205
602,2020-03-11,GOOG,long,-0.6331056867
58,2020-03-12,AAPL,long,-0.2786040938
460,2020-03-12,F,long,-0.403846242
242,2020-03-12,TSLA,long,-0.7448443655
543,2020-03-12,MSFT,long,-0.01920872428
399,2020-03-12,NFLX,long,-0.6063195587
603,2020-03-12,GOOG,long,-0.2409129944
59,2020-03-13,AAPL,short,-0.2833121062
243,2020-03-13,TSLA,short,1.699564604
544,2020-03-13,MSFT,short,-0.1978656095
461,2020-03-13,F,short,0.4423077452
400,2020-03-13,NFLX,short,0.5150707943
604,2020-03-13,GOOG,short,-0.0348402457
401,2020-03-16,NFLX,long,-0.06572237319
60,2020-03-17,AAPL,short,0.7188667351
545,2020-03-17,MSFT,short,0.09170103302
402,2020-03-17,NFLX,short,1.168706014
61,2020-03-18,AAPL,long,-0.2184874665
244,2020-03-18,TSLA,long,-0.6150487994
462,2020-03-18,F,long,-0.6538458717
546,2020-03-18,MSFT,long,-0.06651366068
403,2020-03-18,NFLX,long,0.6818433666
605,2020-03-18,GOOG,long,-0.2101444244
463,2020-03-19,F,long,0.4705875753
245,2020-03-19,TSLA,short,0.2047485638
404,2020-03-19,NFLX,short,-0.152371144
246,2020-03-20,TSLA,short,0.1751907349
547,2020-03-20,MSFT,short,2.082069725
405,2020-03-20,NFLX,short,0.002918169539
406,2020-03-23,NFLX,short,-0.5345287718
